0610009B22Rik	1	chr11	-	51685386	51688874	51686092,	51688690,
0610010F05Rik	0	chr11	-	23573788	23633639	23575517,23576822,23581684,23582940,23583126,23584611,23588734,23589983,23593525,23595526,23606766,23609124,23611857,23612048,23615256,23617196,23620467,23622529,23625122,23629119,	23576731,23581596,23582867,23583098,23584520,23588635,23589951,23593426,23595381,23606614,23609001,23611747,23611962,23615096,23617138,23620229,23622436,23624936,23628873,23633481,
0610010K14Rik	0	chr11	-	70235206	70237914	70235464,70235800,70236211,70237625,	70235696,70236024,70237531,70237784,
0610030E20Rik	0	chr6	+	72347334	72353148	72347515,72347711,72348680,	72347593,72348529,72348997,
0610040J01Rik	0	chr5	+	63812363	63899625	63812595,63876499,63896483,	63876450,63896430,63897955,
1110002E22Rik	0	chr3	+	138065052	138081506	138070449,	138077164,
1110004F10Rik	0	chr7	+	116093301	116105210	116093525,116099523,116102004,116103320,	116099440,116101944,116103211,116104212,
1110008P14Rik	0	chr2	-	32379101	32381938	32379533,	32381692,
1110012L19Rik	0	chrX	+	70385877	70389417	70386151,70388166,	70387894,70388872,
1110017D15Rik	0	chr4	-	41505009	41517333	41505168,41505654,41507328,41507593,41508629,41511576,	41505568,41507099,41507521,41508517,41511432,41517028,
1110032A03Rik	0	chr9	-	50762828	50768452	50764016,50764290,50764926,	50764224,50764696,50767858,
1110038F14Rik	0	chr15	+	76948506	76950729	76948544,76948919,76949152,76949690,	76948629,76949068,76949544,76950249,
1110051M20Rik	0	chr2	-	91277830	91444642	91278957,91279253,91281855,91282660,91284320,91304833,91383859,91421968,	91279190,91281746,91282465,91284235,91304749,91383729,91421866,91444569,
1110059E24Rik	0	chr19	-	21597312	21652976	21598334,21598868,21619215,	21598755,21619109,21652607,
1110059G10Rik	0	chr9	-	122945089	122951000	122948108,122949069,	122948925,122950805,
1110065P20Rik	0	chr4	-	124849485	124850809	124849962,124850433,	124850232,124850522,
1190005I06Rik	1	chr8	-	120608801	120647632	120609030,120611337,120628517,	120611194,120628472,120647520,
1190007I07Rik	0	chr10	-	82619851	82623196	82620217,82622824,	82622708,82622965,
1300017J02Rik	1	chr9	-	103250521	103288297	103250662,103251977,103254824,103256629,103259511,103263185,103266259,103267722,103268454,103269783,103272665,103274996,103277603,103279534,103281143,103282667,	103251791,103254640,103256565,103259370,103263030,103266203,103267632,103268312,103269612,103272487,103274941,103277456,103279373,103281035,103282495,103288181,
1500009C09Rik	0	chr15	+	82252397	82260738	82252748,	82259565,
1500009L16Rik	0	chr10	+	83722865	83762762	83723034,83737933,83757480,83758213,83759630,	83737909,83757445,83758134,83759593,83761918,
1500011B03Rik	1	chr5	-	114822439	114823445	114822725,	114823313,
1520401A03Rik	0	chr17	-	23704488	23720726	23705235,23705432,23705570,23705870,23706057,23706177,23706326,23707445,23707606,23707948,23708229,23708542,23708785,23709053,23709876,23709998,23710508,23711353,23711939,23712059,23712182,23712411,23712525,23713446,23713584,23713704,23714597,23714744,23715814,23715934,23716057,23716277,23716400,23717215,23717332,23718012,23718133,23718442,23718952,23720109,	23705379,23705529,23705793,23705947,23706148,23706267,23707413,23707565,23707904,23708110,23708507,23708750,23709000,23709841,23709966,23710473,23711321,23711880,23712027,23712153,23712370,23712496,23713414,23713525,23713672,23714562,23714712,23715755,23715902,23716028,23716245,23716371,23717159,23717300,23717980,23718104,23718410,23718923,23720077,23720519,
1600002K03Rik	0	chr10	+	80172944	80175146	80173174,80174325,	80174209,80174817,
1600012H06Rik	0	chr17	+	14943184	14945936	14943319,	14943567,
1600014C23Rik	0	chr17	-	45732864	45733844	45733122,	45733586,
1700001C02Rik	0	chr5	+	30466059	30484088	30466184,30480655,30482188,	30480385,30482076,30483868,
1700001C19Rik	0	chr17	-	47412734	47437375	47413894,47433423,47436794,	47433336,47436607,47437191,
1700001F09Rik	1	chr14	-	43342383	43347811	43342731,43344688,43345480,43346790,	43344504,43345349,43346634,43347751,
1700001J03Rik	1	chr5	-	146182441	146185304	146182613,146183643,146184214,146184955,	146183447,146184167,146184753,146185139,
1700001K19Rik	0	chr12	-	110667688	110682619	110667810,110668952,110670281,110670886,110672240,	110668447,110670231,110670719,110672183,110682571,
1700001L19Rik	0	chr13	+	68597421	68614231	68597727,68611277,	68611161,68612830,
1700001O22Rik	0	chr2	-	30795301	30801707	30795805,30796283,30796566,30797980,30800816,30801001,	30796145,30796401,30797868,30800724,30800914,30801140,
1700001P01Rik	0	chr11	-	97771481	97775918	97771737,97772815,	97772716,97775652,
